name,rating,reviews,price_range,category,address,phone,website,hours,plus_code,description,google_maps_url,instagram,tiktok,photos,videos,reviews_data
"Asturo","4.7","391","Rp 25–50 rb","Buka Kam pukul 10.00  ""Konsep cafenya unik, aesthetic, interiornya oke.""  Pesan online","","","","","","","https://www.google.com/maps/place/Asturo/data=!4m7!3m6!1s0x2e78572e696c1a7b:0xe6acb1bc93e3b1ca!8m2!3d-7.8475831!4d112.0346541!16s%2Fg%2F11spfdhblp!19sChIJexpsaS5XeC4RyrHjk7yxrOY","","","","",""
"Tilik Sawah","4.3","409","Rp 1–25.000","","","","","","","","https://www.google.com/maps/place/Tilik+Sawah/data=!4m7!3m6!1s0x2e7857a179ed81b5:0x802bf546dc39388e!8m2!3d-7.8122442!4d111.995781!16s%2Fg%2F11lfqy83yt!19sChIJtYHteaFXeC4Rjjg53Eb1K4A","","","","",""
"ROCABANA - ice . coffee . donuts","4.5","1602","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/ROCABANA+-+ice+.+coffee+.+donuts/data=!4m7!3m6!1s0x2e7857a35f75be8f:0x20d5ecff3271d593!8m2!3d-7.8127303!4d112.0207188!16s%2Fg%2F11j1jz5xdr!19sChIJj751X6NXeC4Rk9VxMv_s1SA","","","","",""
"Cafe 150°","4.8","34","Rp 1–25.000","Cafe 150°  4,8(34)","","","","","","","https://www.google.com/maps/place/Cafe+150%C2%B0/data=!4m7!3m6!1s0x2e7857d590e1d159:0x6a5fece84d01319f!8m2!3d-7.8221874!4d112.005777!16s%2Fg%2F11qzxbmbv6!19sChIJWdHhkNVXeC4RnzEBTejsX2o","","","","",""
"Cafe Balok Kayu","3.8","243","Rp 1–25.000","Cafe Balok Kayu  3,8(243)","","","","","","","https://www.google.com/maps/place/Cafe+Balok+Kayu/data=!4m7!3m6!1s0x2e7857ed1bb7ab01:0xb15f35990fd35802!8m2!3d-7.8286386!4d111.9963752!16s%2Fg%2F11kpvtxj4n!19sChIJAau3G-1XeC4RAljTD5k1X7E","","","","",""
"Read Cafe Kediri","4.7","99","","Read Cafe Kediri  4,7(99)Kafe","","","","","","","https://www.google.com/maps/place/Read+Cafe+Kediri/data=!4m7!3m6!1s0x2e7857917fea7a6d:0xe8646d83fca6f7b7!8m2!3d-7.8311058!4d111.9904644!16s%2Fg%2F11fmpzdcjh!19sChIJbXrqf5FXeC4Rt_em_INtZOg","","","","",""
"Kopi Mandja Kediri","4.6","266","Rp 1–25.000","","","","","","","","https://www.google.com/maps/place/Kopi+Mandja+Kediri/data=!4m7!3m6!1s0x2e78575dc2632ccb:0xa6054b985c15ba1d!8m2!3d-7.8193751!4d112.0192757!16s%2Fg%2F11stngrsnm!19sChIJyyxjwl1XeC4RHboVXJhLBaY","","","","",""
"Abank Coffee Kediri Gor Jayabaya","4.6","71","Rp 1–25.000","","","","","","","","https://www.google.com/maps/place/Abank+Coffee+Kediri+Gor+Jayabaya/data=!4m7!3m6!1s0x2e78578f8b6af1ab:0xace45ef749235340!8m2!3d-7.832908!4d111.995914!16s%2Fg%2F11fghhs1zm!19sChIJq_Fqi49XeC4RQFMjSfde5Kw","","","","",""
"Kendhil Jejeg 2","4.5","302","Rp 1–25.000","","","","","","","","https://www.google.com/maps/place/Kendhil+Jejeg+2/data=!4m7!3m6!1s0x2e7856ff446fb91d:0x8e2d293bd7ce66b9!8m2!3d-7.8331687!4d111.995068!16s%2Fg%2F11cs6dhhn1!19sChIJHblvRP9WeC4RuWbO1zspLY4","","","","",""
"Kopi Gus Kulon Kediri","4.6","30","Rp 1–25.000","","","","","","","","https://www.google.com/maps/place/Kopi+Gus+Kulon+Kediri/data=!4m7!3m6!1s0x2e785790244e09b3:0x90dbe1dee52b0be8!8m2!3d-7.8249609!4d111.9879547!16s%2Fg%2F11t65m3rrd!19sChIJswlOJJBXeC4R6Asr5d7h25A","","","","",""
"Kedai Expo","4.5","1235","Rp 25–50 rb","Buka Kam pukul 09.00  ""Membuat pelanggan (baru) nyaman.""","","","","","","","https://www.google.com/maps/place/Kedai+Expo/data=!4m7!3m6!1s0x2e78576bdc13b87d:0x1c94360977a9ed49!8m2!3d-7.8166264!4d111.9998599!16s%2Fg%2F11fl5mmshs!19sChIJfbgT3GtXeC4RSe2pdwk2lBw","","","","",""
"Lisensi Coffee","4.2","37","Rp 1–25.000","","","","","","","","https://www.google.com/maps/place/Lisensi+Coffee/data=!4m7!3m6!1s0x2e78575962ea6567:0xba806c74d18965d6!8m2!3d-7.8360438!4d112.0004228!16s%2Fg%2F11w3tc066w!19sChIJZ2XqYllXeC4R1mWJ0XRsgLo","","","","",""
"TERAS TEMU","4.6","130","Rp 1–25.000","","","","","","","","https://www.google.com/maps/place/TERAS+TEMU/data=!4m7!3m6!1s0x2e7857525a76fc4f:0xf6e70800442a8e38!8m2!3d-7.8129323!4d112.0101541!16s%2Fg%2F11tg1zrdbm!19sChIJT_x2WlJXeC4ROI4qRAAI5_Y","","","","",""
"Robucca Kediri","4.7","771","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/Robucca+Kediri/data=!4m7!3m6!1s0x2e785749c34515f9:0x46c202a317bda389!8m2!3d-7.8080993!4d112.0018982!16s%2Fg%2F11xn7k7w_t!19sChIJ-RVFw0lXeC4RiaO9F6MCwkY","","","","",""
"ARDA KOFFIE","4.6","371","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/ARDA+KOFFIE/data=!4m7!3m6!1s0x2e7857be046c5515:0x69912254ccb79e9!8m2!3d-7.8159427!4d112.012535!16s%2Fg%2F11j3m55fk0!19sChIJFVVsBL5XeC4R6XnLTCUSmQY","","","","",""
"Point Coffee","4.6","401","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/Point+Coffee/data=!4m7!3m6!1s0x2e78575752541ecf:0x2db5d0fac1b84baa!8m2!3d-7.8207051!4d112.0281063!16s%2Fg%2F11hgbgxp2m!19sChIJzx5UUldXeC4Rqku4wfrQtS0","","","","",""
"Mustcoffee","4.7","171","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/Mustcoffee/data=!4m7!3m6!1s0x2e78576d0aa31d4d:0x4121528cb30ea4a4!8m2!3d-7.8211422!4d112.0265517!16s%2Fg%2F11p13ltr63!19sChIJTR2jCm1XeC4RpKQOs4xSIUE","","","","",""
"Warung Goopi","3.9","314","Rp 1–25.000","","","","","","","","https://www.google.com/maps/place/Warung+Goopi/data=!4m7!3m6!1s0x2e78574b95da0359:0x42ccc3b021347bc9!8m2!3d-7.8144403!4d112.0157353!16s%2Fg%2F11tcj6mb0b!19sChIJWQPalUtXeC4RyXs0IbDDzEI","","","","",""
"CAFE MIRNA","4.3","176","Rp 1–25.000","CAFE MIRNA  4,3(176)","","","","","","","https://www.google.com/maps/place/CAFE+MIRNA/data=!4m7!3m6!1s0x2e7856e2dc475a71:0x3a6fc6423bbb78af!8m2!3d-7.8238887!4d111.9969079!16s%2Fg%2F11c30ppxsd!19sChIJcVpH3OJWeC4Rr3i7O0LGbzo","","","","",""
"Bu Tejo Cafe Kediri","4.3","204","Rp 1–25.000","Bu Tejo Cafe Kediri  4,3(204)","","","","","","","https://www.google.com/maps/place/Bu+Tejo+Cafe+Kediri/data=!4m7!3m6!1s0x2e7857ab41003f49:0x503cda80d777eef3!8m2!3d-7.8606736!4d112.0286731!16s%2Fg%2F11qp05xxxt!19sChIJST8AQatXeC4R8-5314DaPFA","","","","",""
"Mice Street Cafe","5.0","34","Rp 1–25.000","Mice Street Cafe  5,0(34)","","","","","","","https://www.google.com/maps/place/Mice+Street+Cafe/data=!4m7!3m6!1s0x2e78570bf3f103ed:0xb4338e204bc44e5b!8m2!3d-7.8131534!4d112.0213951!16s%2Fg%2F11p5g4qtdg!19sChIJ7QPx8wtXeC4RW07ESyCOM7Q","","","","",""
"kopiki","4.7","492","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/kopiki/data=!4m7!3m6!1s0x2e78575815effdab:0x5c53e08de005a5d9!8m2!3d-7.81251!4d112.0113032!16s%2Fg%2F11fl5mp946!19sChIJq_3vFVhXeC4R2aUF4I3gU1w","","","","",""
